,지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
10,서울특별시,씨앤에스유통(주) 양천드림주유소,서울 양천구 안양천로 657 (신정동),S-OIL,02-2651-7479,Y,2095,1895,1940,-
11,서울특별시,현대주유소,서울 양천구 남부순환로 372 (신월동),S-OIL,02-2608-9231,Y,-,1897,1860,-
12,서울특별시,동일석유㈜개나리주유소,서울 양천구 남부순환로 442 (신월동),SK에너지,02-2606-5189,Y,-,1897,1897,-
13,서울특별시,형산석유(주)원주유소,서울 양천구 남부순환로 408,HD현대오일뱅크,02-2690-5837,N,2030,1899,1948,-
14,서울특별시,양천구주유소,서울 양천구 국회대로 275,HD현대오일뱅크,02-2644-5105,Y,-,1917,1934,-
15,서울특별시,(주)타이거오일 신정주유소,서울 양천구 중앙로 226 (신정동),SK에너지,02-2646-6212,Y,-,1934,1984,-
16,서울특별시,신정동주유소,서울 양천구 안양천로 663 (신정동),HD현대오일뱅크,02-2651-5189,Y,-,1935,2095,-
17,서울특별시,삼미상사(주)신월IC셀프주유소,서울 양천구 중앙로 331 (신월동),SK에너지,02-2694-4966,Y,-,1944,1967,-
18,서울특별시,현대오일뱅크(주)직영 양정주유소,서울 양천구 국회대로 158 (신정동),HD현대오일뱅크,02-2691-5185,N,-,1949,1857,-
19,서울특별시,가로공원주유소,서울 양천구 가로공원로 165 (신월동),SK에너지,02-2695-3423,N,-,1967,1997,-
20,서울특별시,목동주유소,서울 양천구 목동중앙로 125 (목동),SK에너지,02-2645-5104,Y,-,1985,2040,-
21,서울특별시,더지엘에너지㈜ 목동지점,서울 양천구 안양천로 1171,GS칼텍스,02-2061-5108,Y,2130,1985,2050,1700
22,서울특별시,신양주유소,서울 양천구 지양로 67,SK에너지,02-2608-3312,N,-,2089,2149,1890
0,서울특별시,지에스칼텍스㈜ 신길주유소,서울 영등포구 신길로 74 (신길동),GS칼텍스,02-833-1113,Y,2024,1804,1789,1450
1,서울특별시,SK에너지(주) 양평주유소,서울 영등포구 선유로 195 (양평동3가),SK에너지,02-2633-1013,Y,-,1809,1799,-
2,서울특별시,HD현대오일뱅크㈜직영 대일셀프주유소,서울 영등포구 영등포로 168,HD현대오일뱅크,02-2068-8700,Y,1939,1809,1804,1808
3,서울특별시,SK에너지(주) 기린주유소,서울 영등포구 선유로 270,SK에너지,02-2671-5182,Y,1989,1819,1809,-
4,서울특별시,SK에너지(주) 신길동주유소,서울 영등포구 영등포로 348 (신길동),SK에너지,02-843-0481,N,2105,1829,1869,1589
5,서울특별시,지에스칼텍스㈜ 화일주유소,서울 영등포구 도림로 415,GS칼텍스,02-2633-5546,Y,2109,1859,1885,1520
6,서울특별시,도림주유소,서울 영등포구 도림로 343 (도림동),알뜰주유소,02-835-8881,Y,-,1889,1939,-
7,서울특별시,씨앤에스유통(주) 한일주유소,서울 영등포구 도림로 486 (문래동3가),S-OIL,02-3667-5101,Y,2095,1895,1965,1600
8,서울특별시,㈜이아이디 네오시티주유소 지점,서울 영등포구 영등포로 399 (신길동),S-OIL,070-7722-3124,Y,2099,1898,1938,-
9,서울특별시,한경석유(주)경덕주유소,서울 영등포구 여의대방로23길 2 (신길동),SK에너지,02-843-3900,Y,2065,1899,1969,-
10,서울특별시,영등포제일셀프주유소,서울 영등포구 가마산로 379,HD현대오일뱅크,02-847-5151,Y,-,1899,1939,-
11,서울특별시,성락주유소,서울 영등포구 가마산로 414 (신길동),S-OIL,02-842-6148,Y,-,1899,1939,-
12,서울특별시,씨앤에스유통 한성주유소,서울 영등포구 여의대방로 227,S-OIL,02-849-5180,N,2095,1915,1995,-
13,서울특별시,국회대로주유소,서울 영등포구 국회대로 746 (여의도동),HD현대오일뱅크,02-761-5122,Y,2197,1917,1967,-
14,서울특별시,(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),GS칼텍스,02-2633-2716,Y,-,1935,1998,-
15,서울특별시,행촌주유소,서울 영등포구 도신로 130 (신길동),SK에너지,070-7758-5189,Y,-,1937,1957,-
16,서울특별시,(주)강서오일,서울 영등포구 도신로 151,HD현대오일뱅크,02-832-1700,Y,2143,1937,1999,1899
17,서울특별시,(주)MS오일,서울 영등포구 대림로 230,HD현대오일뱅크,02-844-5151,Y,-,1939,1999,-
18,서울특별시,남서울고속주유소,서울 영등포구 가마산로 367 (대림동),SK에너지,02-843-5151,Y,2149,1939,1999,-
19,서울특별시,모든이주유소,서울 영등포구 경인로 789,GS칼텍스,02-2637-7788,N,-,1939,1969,-
20,서울특별시,(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),GS칼텍스,02-841-8780,Y,-,1939,1999,-
21,서울특별시,지에스칼텍스(주) 한양주유소,서울 영등포구 국회대로 665,GS칼텍스,02-2635-7781,N,2199,1949,1849,1495
22,서울특별시,선유도주유소,서울 영등포구 양평로 141 (양평동5가),S-OIL,02-2671-5223,Y,-,1999,2098,-
23,서울특별시,버드나룻길주유소,서울 영등포구 버드나루로 111 (당산동),SK에너지,02-2634-5104,N,2465,2295,2295,1750
24,서울특별시,KH에너지㈜직영 KH여의도주유소,서울 영등포구 국회대로 794 (여의도동),SK에너지,02-761-5101,N,2490,2360,2410,-
25,서울특별시,SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,GS칼텍스,02-785-8201,N,2495,2365,2415,1750
0,서울특별시,HD현대오일뱅크㈜직영 한강셀프주유소,서울 용산구 원효로 9,HD현대오일뱅크,02-712-7124,Y,2053,1798,1758,-
1,서울특별시,GS칼텍스㈜ 서계주유소,서울 용산구  청파로 367,GS칼텍스,02-701-3335,N,2338,1854,1849,1449
2,서울특별시,HD현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),HD현대오일뱅크,02-795-0802,N,2347,1890,1821,-
3,서울특별시,HD현대오일뱅크㈜직영 갈월동주유소,서울특별시 용산구  한강대로 322 (남영동),HD현대오일뱅크,02-754-5217,N,2398,1898,1808,1810
4,서울특별시,HD현대오일뱅크(주)직영 소월길주유소,서울 용산구 소월로 66 (후암동),HD현대오일뱅크,02-318-3314,N,2368,1898,1820,-
5,서울특별시,(주)신태성주유소,서울 용산구 원효로 147 (원효로3가),SK에너지,02-701-9447,N,2385,2186,2097,1623
6,서울특별시,(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),GS칼텍스,02-719-2202,N,2386,2186,2097,1750
7,서울특별시,동자동주유소,서울 용산구 한강대로104길 6 (동자동),SK에너지,02-754-6667,N,2445,2295,2245,1650
8,서울특별시,한남지점,서울 용산구 한남대로21길 4 (한남동),SK에너지,070-8707-4586,N,2547,2347,2247,-
9,서울특별시,에너비스,서울 용산구 한남대로 82 (한남동),SK에너지,070-8707-4572,N,2547,2347,2247,-
10,서울특별시,한석주유소,서울 용산구 이촌로 164,SK에너지,02-790-1020,N,2589,2397,2397,-
11,서울특별시,(주)남경주유소,서울 용산구 녹사평대로 11길 24,SK에너지,02-793-2954,N,2618,2399,2499,2199
0,서울특별시,(주)디오티디 은평유니콘주유소,서울 은평구 통일로 1151,HD현대오일뱅크,02-356-9051,N,1994,1844,1894,1794
1,서울특별시,지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),GS칼텍스,02-309-5051,Y,2029,1879,1809,-
2,서울특별시,타이거주유소,서울 은평구 수색로 188 (증산동),SK에너지,02-309-9145,Y,-,1889,1969,1700
3,서울특별시,불광주유소,서울 은평구 연서로 314,HD현대오일뱅크,02-382-5149,Y,2038,1898,1898,-
4,서울특별시,서정주유소,서울 은평구 통일로 968 (진관동),GS칼텍스,02-352-4451,Y,2040,1914,1978,-
5,서울특별시,대성산업㈜ 대성주유소,서울 은평구 통일로 642,GS칼텍스,02-355-3434,Y,2108,1914,1978,-
6,서울특별시,㈜한화미 구파발주유소,서울 은평구 통일로 1031,S-OIL,02-355-3055,Y,-,1938,1994,-
7,서울특별시,박석고개주유소,서울 은평구 통일로 945 (갈현동),SK에너지,02-388-0477,Y,-,1938,1984,-
8,서울특별시,박석고개2주유소,서울 은평구 통일로 924,SK에너지,02-355-0349,Y,-,1938,1984,1800
9,서울특별시,(주)명연에너지 수색훼미리주유소,서울 은평구 수색로 236 (수색동),HD현대오일뱅크,02-374-8770,Y,-,1939,1999,-
10,서울특별시,㈜오일닷컴 다회주유소,서울 은평구 증산로 441,S-OIL,02-375-5156,Y,-,1969,1999,-
11,서울특별시,(주)아이에스피에너지(서울서부고속주유소),서울 은평구 응암로 163,HD현대오일뱅크,02-303-1448,Y,2039,1998,2018,-
12,서울특별시,코끼리주유소,서울 은평구 서오릉로 41 (녹번동),자가상표,02-384-4000,N,-,2038,2068,-
0,서울특별시,(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,SK에너지,070-8707-4564,Y,2288,1979,1989,-
1,서울특별시,자하문주유소,서울 종로구 자하문로 248 (부암동),SK에너지,02-396-5252,Y,2199,1985,2045,-
2,서울특별시,㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),HD현대오일뱅크,02-391-5185,Y,2268,2026,2010,-
3,서울특별시,안풍주유소,서울 종로구 자하문로 303,S-OIL,02-396-5151,N,2289,2069,2079,-
4,서울특별시,㈜한화미 구도일주유소 특종,서울 종로구 평창문화로 90 (평창동),S-OIL,02-379-6524,N,2390,2070,2079,1700
5,서울특별시,㈜북악주유소,서울 종로구 평창문화로 137,GS칼텍스,02-395-6500,Y,2589,2389,2279,-
6,서울특별시,(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65,GS칼텍스,02-735-4858,N,2635,2435,2360,1800
0,서울특별시,HD현대오일뱅크㈜직영 장원주유소,서울 중구 동호로 203 (신당동),HD현대오일뱅크,02-2236-2759,N,2158,1898,1868,1800
1,서울특별시,다산주유소,서울 중구 다산로 233,S-OIL,02-2252-2210,Y,2064,1914,1979,1600
2,서울특별시,진심self주유소,서울 중구 왕십리로 403,S-OIL,02-2232-4190,Y,2098,1928,1964,-
3,서울특별시,동일석유㈜퇴계로주유소,서울 중구 퇴계로 228 (필동2가),SK에너지,02-2273-5189,N,2218,1945,1947,-
4,서울특별시,장충드림주유소,서울 중구 동호로 296,S-OIL,02-2275-5150,Y,-,1995,1995,-
5,서울특별시,약수주유소,서울 중구 다산로 173,SK에너지,02-2252-3345,Y,2297,2079,2098,-
6,서울특별시,장충주유소,서울 중구 장충단로 202 (장충동1가),SK에너지,02-2279-9965,N,2588,2288,2168,-
7,서울특별시,신당동주유소,서울 중구 다산로 242 (신당동),SK에너지,02-2252-6688,N,2598,2398,2498,2000
8,서울특별시,필동주유소,서울 중구 퇴계로 196,GS칼텍스,02-2267-8025,N,2769,2479,2599,2469
9,서울특별시,서남주유소,서울 중구 통일로 30,SK에너지,02-752-9475,N,2996,2596,2658,2149
0,서울특별시,오천만주유소,서울 중랑구 동일로 547 (면목동),S-OIL,070-7797-7474,Y,2027,1897,1857,-
1,서울특별시,우림주유소,서울 중랑구 용마산로 487 (망우제3동),GS칼텍스,02-433-9990,Y,2020,1897,1927,-
2,서울특별시,대양주유소,서울 중랑구 봉우재로 105 (상봉동),GS칼텍스,02-437-5457,Y,2070,1897,1927,1700
3,서울특별시,면목SELF주유소,서울 중랑구 동일로 627 (면목동),SK에너지,02-437-4072,Y,-,1899,1927,-
4,서울특별시,(주)자연에너지 대창주유소,서울 중랑구 동일로 636 (면목동),HD현대오일뱅크,02-434-1448,Y,2020,1899,1860,-
5,서울특별시,대원주유소,서울 중랑구 동일로 600,GS칼텍스,02-438-6111,Y,2020,1899,1860,-
6,서울특별시,구도일주유소 동천,서울 중랑구 동일로 654 (면목동),S-OIL,02-495-0081,Y,-,1899,1927,-
7,서울특별시,(주)태영 구도일주유소 한인,서울 중랑구 망우로 170,S-OIL,02-438-5151,Y,2077,1917,1967,-
8,서울특별시,신내주유소,서울 중랑구 용마산로 705 (신내동),SK에너지,02-2207-0523,Y,-,1929,1989,1600
9,서울특별시,(주)기지에너지,서울 중랑구 용마산로 712,S-OIL,02-2207-9419,N,2139,1949,1989,-
10,서울특별시,신일셀프주유소,서울 중랑구 상봉로 58 (망우동),SK에너지,02-436-3651,Y,-,1988,1998,1800
11,서울특별시,용마로주유소,서울 중랑구 용마산로 309 (면목동),SK에너지,02-439-3037,Y,-,1988,1988,1700
12,서울특별시,범아주유소,서울 중랑구 동일로 881,S-OIL,02-974-8356,N,-,1996,1998,1700
0,서울특별시,HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,HD현대오일뱅크,02-2226-4963,Y,1934,1795,1788,-
1,서울특별시,HD현대오일뱅크㈜직영 강남셀프주유소,서울 강남구 도곡로 208,HD현대오일뱅크,02-3462-0018,Y,1966,1817,1806,-
2,서울특별시,HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구  남부순환로 2718,HD현대오일뱅크,02-529-5101,Y,1966,1817,1806,-
3,서울특별시,HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),HD현대오일뱅크,02-3462-5215,N,2004,1827,1806,1850
4,서울특별시,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),GS칼텍스,02-539-5145,Y,2208,1858,1879,-
5,서울특별시,방죽주유소,서울 강남구 밤고개로 215 (율현동),GS칼텍스,02-459-3434,Y,-,1877,1879,-
6,서울특별시,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,GS칼텍스,02-3452-1882,N,2109,1884,1920,-
7,서울특별시,HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),HD현대오일뱅크,02-546-2182,N,2423,1890,1845,-
8,서울특별시,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),SK에너지,02-445-6870,Y,2065,1895,1895,-
9,서울특별시,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),SK에너지,02-445-5841,Y,-,1918,1940,-
10,서울특별시,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),SK에너지,02-3462-5100,Y,2090,1925,1956,-
11,서울특별시,한양주유소,서울 강남구 압구정로 302 (신사동),알뜰주유소,02-3444-0804,N,2199,1949,2169,-
12,서울특별시,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),S-OIL,02-2058-3024,N,2130,1950,1930,-
13,서울특별시,SK서광주유소,서울 강남구 역삼로 142,SK에너지,02-562-4855,Y,2120,1950,1990,-
14,서울특별시,대교셀프주유소,서울 강남구 강남대로 640 (신사동),SK에너지,02-512-5521,Y,2270,1990,1920,-
15,서울특별시,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),SK에너지,02-545-6161,Y,2287,1997,1995,-
16,서울특별시,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,SK에너지,02-544-4075,Y,2287,1997,1995,-
17,서울특별시,일원주유소,서울 강남구 양재대로55길 3 (일원동),S-OIL,02-2226-5188,Y,-,1998,1898,-
18,서울특별시,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),SK에너지,070-8707-4582,Y,2198,1998,1898,-
19,서울특별시,극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),S-OIL,02-564-0186,Y,2265,2045,2085,-
20,서울특별시,삼성동주유소,서울 강남구 테헤란로 619,HD현대오일뱅크,02-508-6572,Y,2325,2125,2135,-
21,서울특별시,명품주유소,서울 강남구 도곡로 249 (역삼동),S-OIL,02-501-1256,Y,2398,2248,2157,-
22,서울특별시,대청주유소,서울 강남구 개포로 654 (일원동),SK에너지,02-445-5500,N,2496,2266,2166,1886
23,서울특별시,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,HD현대오일뱅크,02-543-1154,N,2587,2287,2178,-
24,서울특별시,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,GS칼텍스,02-565-0267,N,2567,2367,2454,1550
25,서울특별시,SK논현주유소,서울 강남구 논현로 747 (논현동),SK에너지,02-511-0955,N,2678,2440,2190,1888
26,서울특별시,(주)제이제이네트웍스 제이제이주유소,서울 강남구 언주로 716,HD현대오일뱅크,02-518-5631,N,2798,2598,2240,-
0,서울특별시,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),GS칼텍스,02-426-5372,Y,2109,1829,1809,-
1,서울특별시,천호현대주유소,서울 강동구 천중로 67 (천호동),HD현대오일뱅크,02-000-0000,Y,-,1862,1837,-
2,서울특별시,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),HD현대오일뱅크,02-487-2030,Y,-,1862,1892,-
3,서울특별시,구천면주유소,서울 강동구 구천면로 357 (암사동),HD현대오일뱅크,02-441-0536,N,-,1865,1846,-
4,서울특별시,㈜삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),GS칼텍스,02-441-3327,Y,2075,1893,1946,1699
5,서울특별시,구도일주유소 코알라,서울특별시 강동구  올림픽로 556 (성내동),S-OIL,02-484-1162,Y,2093,1893,1941,-
6,서울특별시,(주)소모 성내주유소,서울 강동구 올림픽로 578 (성내동),GS칼텍스,02-479-3838,Y,-,1898,1948,1700
7,서울특별시,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),SK에너지,02-484-6165,N,2093,1925,1945,-
8,서울특별시,대성석유(주)길동주유소,서울 강동구 천호대로 1168,GS칼텍스,02-474-7222,N,2095,1926,1968,1800
9,서울특별시,sk해뜨는주유소,서울 강동구  상일로 132 (강일동),SK에너지,02-442-7801,Y,2099,1929,1969,1800
10,서울특별시,(주)소모 신월주유소,서울 강동구 양재대로 1323,GS칼텍스,02-6956-6674,Y,2136,1936,1958,-
11,서울특별시,광성주유소,서울 강동구 올림픽로 673 (천호동),S-OIL,02-470-5133,N,-,1964,1941,-
0,서울특별시,(주)자연에너지 번동주유소,서울 강북구 한천로 963 (번동),HD현대오일뱅크,02-994-4458,Y,2020,1899,1860,-
1,서울특별시,(주)서울에너지 시민주유소,서울 강북구 인수봉로 185 (수유동),HD현대오일뱅크,02-907-9496,Y,2020,1899,1860,-
2,서울특별시,(주)석산에너지,서울 강북구 삼양로 316 (수유동),HD현대오일뱅크,02-980-1448,Y,-,1899,1860,1700
3,서울특별시,북서울고속주유소,서울 강북구 삼양로 410 (수유동),SK에너지,02-907-5182,Y,2009,1899,1870,-
4,서울특별시,덕릉로주유소,서울 강북구 덕릉로 158 (번동),S-OIL,02-989-9806,Y,-,1899,1860,-
5,서울특별시,수유동주유소,서울 강북구 도봉로 395 (수유동),GS칼텍스,02-902-9470,Y,-,1928,1968,-
6,서울특별시,삼미상사㈜ 매일셀프주유소,서울 강북구 삼양로 217,SK에너지,02-982-8855,Y,-,1928,1968,-
7,서울특별시,씨앤에스유통㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),S-OIL,02-945-7999,Y,-,1929,1989,-
8,서울특별시,대성석유(주)신광주유소,서울 강북구 삼양로 484,GS칼텍스,02-908-3320,N,-,1949,1999,1700
0,서울특별시,지에스칼텍스㈜ 경인고속주유소,서울 강서구 국회대로 225 (화곡동),GS칼텍스,02-2608-5151,Y,2017,1807,1789,1700
1,서울특별시,HD현대오일뱅크㈜직영 가양주유소,서울 강서구  양천로 391 (가양동),HD현대오일뱅크,02-3661-9470,N,1988,1829,1815,-
2,서울특별시,HD현대오일뱅크㈜직영 양화교셀프주유소,서울 강서구 공항대로 653,HD현대오일뱅크,02-3665-2004,Y,1988,1841,1810,1858
3,서울특별시,목화주유소,서울 강서구 국회대로 251 (화곡동),알뜰주유소,02-2654-4564,Y,-,1887,1934,-
4,서울특별시,유턴주유소,서울 강서구 남부순환로 57,알뜰주유소,02-2665-5047,Y,-,1887,1937,1500
5,서울특별시,화곡역주유소,서울 강서구 강서로 154 (화곡동),알뜰주유소,02-2691-5151,Y,-,1889,1857,-
6,서울특별시,이케이에너지(주) 강서주유소,서울 강서구 화곡로 273 (화곡동),HD현대오일뱅크,02-2699-5219,Y,-,1897,1860,-
7,서울특별시,행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),HD현대오일뱅크,02-2665-5189,Y,2027,1899,1968,-
8,서울특별시,대성석유(주) 마곡대성주유소,서울 강서구 강서로 457,GS칼텍스,02-3664-7781,Y,2086,1899,1978,-
9,서울특별시,경동석유산업㈜ 강서오곡SELF주유소,서울 강서구 벌말로 254 (오곡동),SK에너지,032-671-5186,Y,-,1899,1920,-
10,서울특별시,㈜한경에너지 신화곡주유소,서울 강서구 국회대로 71,SK에너지,02-2696-5189,Y,-,1899,1968,1600
11,서울특별시,씨앤에스유통(주) 마곡드림주유소,서울 강서구 방화대로 254(마곡동),S-OIL,02-2667-0113,Y,-,1905,1995,-
12,서울특별시,㈜오일마스터강서지점 등촌주유소,서울 강서구 등촌로 189,HD현대오일뱅크,02-2647-5700,N,-,1907,1957,-
13,서울특별시,대성석유(주)방화대성주유소,서울 강서구 양천로 176,GS칼텍스,02-3663-7781,Y,2086,1919,1988,-
14,서울특별시,오션네트웍스(주) 서울식물원지점,서울 강서구 양천로 300,SK에너지,02-3661-8829,Y,2030,1919,1968,-
15,서울특별시,뉴신정주유소,서울 강서구 곰달래로 207,알뜰주유소,02-2606-1149,N,-,1927,1967,-
16,서울특별시,강서열린주유소,서울 강서구 등촌로 213 (등촌동),GS칼텍스,02-2647-9091,N,-,1929,1969,1699
17,서울특별시,KH에너지㈜직영 KH외발산주유소,서울 강서구 방화대로 30,SK에너지,032-677-9497,Y,2075,1929,1999,-
18,서울특별시,세원제1주유소,서울 강서구 양천로 311 (가양동),SK에너지,02-3663-5151,Y,-,1930,1980,-
19,서울특별시,(주)타이거오일 방화주유소,서울 강서구 방화동로 58-2,SK에너지,02-2662-0503,Y,-,1934,1983,1600
20,서울특별시,KH에너지㈜직영 가양주유소,서울 강서구 강서로 498 (가양동),SK에너지,02-3664-6051,N,2065,1939,1999,-
21,서울특별시,(주)한진 김포공항제2주유소,서울 강서구 하늘길 112,S-OIL,02-2661-8892,Y,-,1946,1967,-
22,서울특별시,개화주유소,서울 강서구 양천로 57,SK에너지,02-2661-5555,Y,-,1957,1997,-
23,서울특별시,스카이주유소,서울 강서구 개화동로 457 (방화동),S-OIL,02-2663-5146,Y,2027,1958,1998,-
24,서울특별시,박물관주유소,서울 강서구 양천로53길 97 (가양동),GS칼텍스,02-3665-5189,N,2098,1958,1998,-
25,서울특별시,대성석유㈜ 대성주유소,서울 강서구 강서로 472,GS칼텍스,02-3661-6102,N,2096,1959,1998,-
26,서울특별시,대성석유(주) 관문주유소,서울 강서구 공항대로 314,GS칼텍스,02-3665-2051,N,2096,1959,1998,1700
27,서울특별시,화곡현대주유소,서울 강서구 강서로 151 (화곡동),SK에너지,02-2607-1942,Y,2096,1968,1996,-
28,서울특별시,피트인 하이웨이,서울 강서구 공항대로 432,S-OIL,02-2605-4000,Y,2028,1987,2187,-
29,서울특별시,코리나(주)청룡주유소,서울 강서구 양천로 576,SK에너지,02-3661-1575,N,2128,1988,1998,-
30,서울특별시,우장산주유소,서울 강서구 강서로 292,SK에너지,02-3664-7163,Y,2126,1998,2148,-
31,서울특별시,참솔에너지,서울 강서구 벌말로 281 (오곡동),S-OIL,070-8844-8282,Y,-,1998,2198,-
32,서울특별시,염창동주유소,서울 강서구 양천로 720,SK에너지,02-3664-4134,N,-,2127,1995,-
0,서울특별시,SK에너지(주)직영 신봉천주유소,서울 관악구 남부순환로 1880 (봉천동),SK에너지,02-885-5189,N,2095,1795,1795,1500
1,서울특별시,HD현대오일뱅크㈜직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),HD현대오일뱅크,02-867-1877,Y,2039,1826,1787,-
2,서울특별시,HD현대오일뱅크㈜직영 문성골주유소,서울 관악구 문성로 97,HD현대오일뱅크,02-839-0081,N,-,1881,1808,-
3,서울특별시,진우7주유소 ㈜준우에너지,서울 관악구 보라매로 41,알뜰주유소,02-889-8929,Y,-,1883,1918,-
4,서울특별시,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),알뜰주유소,02-871-1356,Y,-,1884,1914,1600
5,서울특별시,(주)한유에너지 행운주유소,서울 관악구 남부순환로 1883 (봉천동),SK에너지,02-871-5189,Y,2149,1894,1964,-
6,서울특별시,㈜CW창원,서울 관악구 과천대로 921 (남현동),HD현대오일뱅크,02-522-0609,Y,2095,1895,1905,-
7,서울특별시,현대주유소,서울 관악구 난곡로 108 (신림동),HD현대오일뱅크,02-851-9100,N,-,1899,1899,-
8,서울특별시,대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),SK에너지,02-882-5189,Y,2059,1899,1946,-
9,서울특별시,유림주유소,서울 관악구 신림로 176 (신림동),S-OIL,02-887-5145,N,-,1938,1968,1650
10,서울특별시,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),GS칼텍스,02-877-0867,Y,2135,1965,1965,1600
11,서울특별시,지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,GS칼텍스,02-858-2003,N,-,1973,1914,-
12,서울특별시,관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),S-OIL,02-874-5185,N,-,2015,2025,-
13,서울특별시,CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),GS칼텍스,02-2632-8612,N,2278,2078,2178,-
0,서울특별시,HD현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37,HD현대오일뱅크,02-447-9796,Y,-,1816,1808,-
1,서울특별시,HD현대오일뱅크㈜직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),HD현대오일뱅크,02-497-5151,Y,1997,1829,1812,-
2,서울특별시,삼호주유소,서울 광진구 천호대로 809 (광장동),S-OIL,02-455-7200,Y,2068,1898,1928,-
3,서울특별시,(주)창원CW,서울 광진구 광나루로 460 (화양동),HD현대오일뱅크,02-3436-1112,Y,-,1899,1860,-
4,서울특별시,㈜동화오일 대원주유소,서울 광진구 용마산로 122 (중곡동),GS칼텍스,02-455-5185,Y,2070,1899,1929,-
5,서울특별시,(주)자연에너지 중원주유소,서울 광진구 동일로 398 (중곡동),HD현대오일뱅크,02-498-8683,Y,-,1899,1860,-
6,서울특별시,능동주유소 ㈜케이에스넷,서울 광진구 천호대로 584,알뜰주유소,02-452-7723,Y,2169,1899,1920,1690
7,서울특별시,(주)장수주유소,서울 광진구 동일로 266 (군자동),SK에너지,02-498-1981,Y,-,1918,1977,-
8,서울특별시,서울중앙고속주유소,서울 광진구 동일로 345 (중곡동),SK에너지,02-463-2231,Y,2065,1929,1989,-
9,서울특별시,유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),SK에너지,02-457-7600,N,2298,1965,1995,-
10,서울특별시,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),S-OIL,02-461-5152,Y,2087,1967,1997,-
0,서울특별시,지에스칼텍스㈜ 개봉동주유소,서울 구로구 경인로 290,GS칼텍스,02-2685-5189,Y,2040,1810,1800,-
1,서울특별시,HD현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,HD현대오일뱅크,02-856-1135,Y,1939,1836,1788,-
2,서울특별시,대원셀프주유소,서울 구로구 개봉로 7,HD현대오일뱅크,02-2612-3880,Y,2078,1884,1878,-
3,서울특별시,영진주유소,서울 구로구 구로동로 20 (가리봉동),HD현대오일뱅크,070-4647-1117,Y,2035,1887,1887,-
4,서울특별시,신성주유소,서울 구로구 구로동로 187 (구로제2동),알뜰주유소,02-866-5189,Y,-,1892,1932,-
5,서울특별시,구인주유소,서울 구로구 경인로 558 (구로동),SK에너지,02-2677-5010,Y,-,1894,1934,-
6,서울특별시,구일주유소,서울 구로구 구일로 94 (구로동),HD현대오일뱅크,02-868-5758,Y,2034,1894,1934,-
